City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year,State_Political_Color,State_PopEstimate,City_PopEstimate
Chicago,2,2017-04-02,809978,,41.8757,-87.7131,4,Illinois,6,Midwest,4,2,2017,BLUE,12778828,2711069
Des Moines,2,2017-04-02,809683,,41.6163,-93.6469,4,Iowa,5,Midwest,5,0,2017,PURPLE,3141550,216662
Pittsburg,1,2017-04-01,809815,,38.0053,-121.895,4,California,5,West,5,0,2017,BLUE,39358497,72000
Tampa,1,2017-04-01,809048,,27.9431,-82.4831,4,Florida,5,South,4,1,2017,PURPLE,20963613,391026
Oklahoma City,1,2017-04-01,809499,5:25 AM,35.481,-97.5754,4,Oklahoma,5,South,3,2,2017,RED,3931316,642822
Chicago,30,2017-03-30,807618,3:30 PM,41.7601,-87.5583,3,Illinois,4,Midwest,0,4,2017,BLUE,12778828,2711069
Sanford,27,2017-03-27,804115,,28.7912,-81.2819,3,Florida,6,South,4,2,2017,PURPLE,20963613,59542
Cleveland,26,2017-03-26,803689,,41.4518,-81.6357,3,Ohio,4,Midwest,2,2,2017,PURPLE,11659650,385252
Houston,26,2017-03-26,803822,,29.9306,-95.3065,3,Texas,6,South,4,2,2017,RED,28295273,2316750
Cincinnati,26,2017-03-26,803054,1:00 AM,39.0929,-84.4284,3,Ohio,16,Midwest,15,1,2017,PURPLE,11659650,301587
Knoxville,25,2017-03-25,802926,7:15 PM,35.9846,-83.9578,3,Tennessee,5,South,4,1,2017,RED,6708799,186905
Detroit,25,2017-03-25,803460,,42.3613,-83.1208,3,Michigan,4,Midwest,3,1,2017,PURPLE,9973114,674631
Cleveland,25,2017-03-25,802837,,41.4882,-81.6334,3,Ohio,4,Midwest,2,2,2017,PURPLE,11659650,385252
Fresno,24,2017-03-24,802425,,36.7408,-119.714,3,California,5,West,4,1,2017,BLUE,39358497,525373
St. Louis,24,2017-03-24,802240,,38.6765,-90.2545,3,Missouri,7,Midwest,6,1,2017,RED,6106670,308233
Rothschild,22,2017-03-22,800363,,44.8975,-89.6129,3,Wisconsin,4,Midwest,0,4,2017,PURPLE,5790186,5312
Jefferson,19,2017-03-19,797553,,38.2627,-85.775,3,Kentucky,6,South,5,1,2017,RED,4452268,769828
Detroit,18,2017-03-18,797125,,42.4086,-83.2044,3,Michigan,4,Midwest,1,3,2017,PURPLE,9973114,674631
Jefferson,15,2017-03-15,794468,,29.997,-90.1763,3,Louisiana,4,South,1,3,2017,RED,4670560,436126
Chicago,10,2017-03-10,791298,,41.8019,-87.6225,3,Illinois,4,Midwest,2,2,2017,BLUE,12778828,2711069
New Orleans,10,2017-03-10,791274,,30.0008,-90.0619,3,Louisiana,4,South,1,3,2017,RED,4670560,391493
Chicago,7,2017-03-07,789798,,41.756,-87.6527,3,Illinois,4,Midwest,4,0,2017,BLUE,12778828,2711069
Columbus,5,2017-03-05,789424,,32.4941,-84.9851,3,Georgia,4,South,4,0,2017,PURPLE,10410330,193836
Topeka,4,2017-03-04,787875,11:45 PM,39.0261,-95.645,3,Kansas,5,Midwest,4,1,2017,RED,2908718,126517
