City_or_County,Day,Incident_Date,Incident_ID,Incident_Time,Latitude,Longitude,Month,State_Name,Total_Victims,US_Region,Victims_Injured,Victims_Killed,Year,State_Political_Color,State_PopEstimate,City_PopEstimate
Kansas City,5,2022-09-05,2407734,10:45 PM,38.9912,-94.4974,9,Missouri,4,Midwest,2,2,2022,RED,6177168,509129
St. Louis,5,2022-09-05,2407739,6:01 PM,38.6751,-90.2264,9,Missouri,4,Midwest,3,1,2022,RED,6177168,286193
Philadelphia,5,2022-09-05,2406852,1:00 AM,40.0039,-75.1427,9,Pennsylvania,6,Northeast,4,2,2022,PURPLE,12972091,1566836
Cleveland,5,2022-09-05,2406862,2:53 AM,41.5265,-81.5858,9,Ohio,11,Midwest,10,1,2022,PURPLE,11759697,362806
St. Paul,4,2022-09-04,2406597,4:30 PM,44.9705,-93.0603,9,Minnesota,5,Midwest,2,3,2022,BLUE,5714300,304436
Norfolk,4,2022-09-04,2406108,12:05 AM,36.889,-76.2979,9,Virginia,7,South,5,2,2022,BLUE,8679099,232558
Charleston,4,2022-09-04,2406123,12:55 AM,32.7905,-79.9395,9,South Carolina,7,South,7,0,2022,RED,5282955,153745
Fort Lauderdale,4,2022-09-04,2406656,8:30 PM,26.1785,-80.184,9,Florida,4,South,4,0,2022,PURPLE,22245521,183118
Chicago,4,2022-09-04,2406651,6:48 PM,41.7389,-87.5627,9,Illinois,4,Midwest,2,2,2022,BLUE,12582515,2672660
Chico,3,2022-09-03,2405689,1:45 AM,39.7196,-121.851,9,California,5,West,5,0,2022,BLUE,39040616,101758
Yorkville,3,2022-09-03,2405866,1:36 AM,41.6034,-88.4538,9,Illinois,4,Midwest,4,0,2022,BLUE,12582515,23864
Birmingham,3,2022-09-03,2406042,9:20 PM,33.5069,-86.8377,9,Alabama,4,South,2,2,2022,RED,5073903,196887
Capitol Heights,3,2022-09-03,2405859,8:00 PM,38.8694,-76.8554,9,Maryland,4,South,3,1,2022,BLUE,6163981,3951
Fresno,2,2022-09-02,2405239,5:30 AM,36.7486,-119.788,9,California,4,West,2,2,2022,BLUE,39040616,545253
Minneapolis,2,2022-09-02,2405020,7:06 PM,44.9997,-93.2883,9,Minnesota,4,Midwest,4,0,2022,BLUE,5714300,422003
Kings,2,2022-09-02,2404930,8:49 PM,40.7312,-73.9453,9,New York,4,Northeast,4,0,2022,BLUE,19673200,2589531
St. Louis,29,2022-08-29,2400998,7:16 AM,38.7265,-90.2589,8,Missouri,4,Midwest,4,0,2022,RED,6177168,286193
Clinton,28,2022-08-28,2399774,12:35 AM,42.574,-88.8629,8,Wisconsin,4,Midwest,4,0,2022,PURPLE,5890543,2210
Bend,28,2022-08-28,2400434,7:00 PM,44.0577,-121.265,8,Oregon,4,West,2,2,2022,BLUE,4239379,103219
Albany,28,2022-08-28,2399820,3:00 AM,42.6614,-73.7813,8,New York,6,Northeast,6,0,2022,BLUE,19673200,100884
Los Angeles,28,2022-08-28,2399839,12:45 AM,34.0338,-118.214,8,California,6,West,6,0,2022,BLUE,39040616,3822782
Detroit,28,2022-08-28,2400026,4:45 AM,42.4314,-83.161,8,Michigan,4,Midwest,1,3,2022,PURPLE,10033281,631366
Phoenix,28,2022-08-28,2400492,8:45 PM,33.683,-112.116,8,Arizona,7,West,5,2,2022,PURPLE,7365684,1643899
Houston,28,2022-08-28,2399755,1:07 AM,29.6924,-95.4941,8,Texas,5,South,2,3,2022,RED,30029848,2302488
Denver,28,2022-08-28,2399670,12:21 AM,39.7753,-104.954,8,Colorado,4,West,3,1,2022,BLUE,5841039,713453
Kings,27,2022-08-27,2399576,11:57 PM,40.5734,-73.9782,8,New York,5,Northeast,4,1,2022,BLUE,19673200,2589531
Spokane,27,2022-08-27,2399000,3:15 AM,47.7065,-117.414,8,Washington,4,West,3,1,2022,BLUE,7784477,230405
Lexington-Fayette,27,2022-08-27,2398877,1:48 AM,38.0651,-84.4786,8,Kentucky,7,South,7,0,2022,RED,4511563,320281
Henderson,25,2022-08-25,2398004,7:40 PM,37.8306,-87.5884,8,Kentucky,4,South,2,2,2022,RED,4511563,27690
Spokane,25,2022-08-25,2397504,3:00 AM,47.664,-117.443,8,Washington,4,West,4,0,2022,BLUE,7784477,230405
Birmingham,25,2022-08-25,2398118,11:20 PM,33.5304,-86.8486,8,Alabama,4,South,3,1,2022,RED,5073903,196887
Chicago,24,2022-08-24,2396803,2:45 PM,41.9461,-87.735,8,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Washington,24,2022-08-24,2396536,12:52 PM,38.9088,-77.0102,8,District of Columbia,5,South,3,2,2022,BLUE,670949,670949
Milwaukee,24,2022-08-24,2397033,9:20 PM,43.0666,-87.9397,8,Wisconsin,4,Midwest,2,2,2022,PURPLE,5890543,563632
Baltimore,24,2022-08-24,2396567,12:30 PM,39.3345,-76.6626,8,Maryland,7,South,6,1,2022,BLUE,6163981,569107
Philadelphia,23,2022-08-23,2396124,4:48 PM,39.9651,-75.2401,8,Pennsylvania,4,Northeast,2,2,2022,PURPLE,12972091,1566836
Wilmington,20,2022-08-20,2393474,11:00 PM,39.7558,-75.5356,8,Delaware,4,South,4,0,2022,BLUE,1019459,71606
Asheville,20,2022-08-20,2393051,2:00 AM,35.5934,-82.5578,8,North Carolina,4,South,4,0,2022,RED,10695965,94015
Chicago,20,2022-08-20,2392698,12:10 AM,41.7818,-87.6225,8,Illinois,5,Midwest,5,0,2022,BLUE,12582515,2672660
Chicago,19,2022-08-19,2392494,6:00 PM,41.8729,-87.7087,8,Illinois,5,Midwest,4,1,2022,BLUE,12582515,2672660
Chicago,19,2022-08-19,2391779,12:10 AM,41.7996,-87.6469,8,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Norfolk,18,2022-08-18,2391353,4:33 PM,36.9095,-76.255,8,Virginia,5,South,2,3,2022,BLUE,8679099,232558
Chicago,17,2022-08-17,2390519,6:42 PM,41.7616,-87.6415,8,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Philadelphia,17,2022-08-17,2391042,11:30 PM,39.9975,-75.1694,8,Pennsylvania,4,Northeast,4,0,2022,PURPLE,12972091,1566836
Philadelphia,16,2022-08-16,2389775,6:30 PM,39.9669,-75.2347,8,Pennsylvania,5,Northeast,5,0,2022,PURPLE,12972091,1566836
Memphis,16,2022-08-16,2388884,12:42 AM,35.2351,-89.8953,8,Tennessee,6,South,6,0,2022,RED,7048976,623840
Phoenix,14,2022-08-14,2386954,2:00 AM,33.468,-111.982,8,Arizona,5,West,4,1,2022,PURPLE,7365684,1643899
Chicago,14,2022-08-14,2386871,12:20 AM,41.7521,-87.6683,8,Illinois,5,Midwest,4,1,2022,BLUE,12582515,2672660
Baltimore,14,2022-08-14,2386878,1:43 AM,39.3483,-76.5653,8,Maryland,4,South,3,1,2022,BLUE,6163981,569107
Cleveland,13,2022-08-13,2388144,1:50 AM,41.4674,-81.6353,8,Ohio,5,Midwest,4,1,2022,PURPLE,11759697,362806
Raleigh,13,2022-08-13,2386032,12:00 AM,35.8142,-78.6248,8,North Carolina,6,South,6,0,2022,RED,10695965,473423
College Park,13,2022-08-13,2387010,10:45 PM,33.6063,-84.4317,8,Georgia,5,South,4,1,2022,PURPLE,10913150,13901
Renton,13,2022-08-13,2386151,12:30 AM,47.4838,-122.141,8,Washington,4,West,4,0,2022,BLUE,7784477,104067
Philadelphia,12,2022-08-12,2385789,7:30 PM,40.0199,-75.0729,8,Pennsylvania,4,Northeast,3,1,2022,PURPLE,12972091,1566836
St. Louis,12,2022-08-12,2385846,2:56 AM,38.6652,-90.2671,8,Missouri,4,Midwest,3,1,2022,RED,6177168,286193
Winona,10,2022-08-10,2383958,4:30 PM,33.4778,-89.7375,8,Mississippi,4,South,3,1,2022,RED,2938928,4174
Richmond,8,2022-08-08,2382827,9:30 PM,37.5736,-77.4203,8,Virginia,4,South,4,0,2022,BLUE,8679099,228367
Cincinnati,7,2022-08-07,2380747,1:40 AM,39.1105,-84.5123,8,Ohio,8,Midwest,8,0,2022,PURPLE,11759697,309405
Pittsburgh,7,2022-08-07,2381371,9:47 PM,40.4584,-80.0171,8,Pennsylvania,4,Northeast,3,1,2022,PURPLE,12972091,302799
Atlanta,7,2022-08-07,2381321,7:00 PM,33.7411,-84.3997,8,Georgia,6,South,4,2,2022,PURPLE,10913150,498771
Birmingham,7,2022-08-07,2381000,3:00 AM,33.5076,-86.8227,8,Alabama,5,South,4,1,2022,RED,5073903,196887
Detroit,6,2022-08-06,2380361,10:45 AM,42.4324,-82.9795,8,Michigan,5,Midwest,4,1,2022,PURPLE,10033281,631366
Detroit,6,2022-08-06,2380869,10:25 PM,42.4324,-83.0991,8,Michigan,7,Midwest,6,1,2022,PURPLE,10033281,631366
Duquesne,6,2022-08-06,2380783,9:30 PM,40.3633,-79.8484,8,Pennsylvania,4,Northeast,4,0,2022,PURPLE,12972091,5129
Norfolk,5,2022-08-05,2379316,1:15 AM,36.8472,-76.2906,8,Virginia,4,South,4,0,2022,BLUE,8679099,232558
Dayton,5,2022-08-05,2379499,11:45 AM,39.8503,-84.2159,8,Ohio,4,Midwest,0,4,2022,PURPLE,11759697,135828
Milwaukee,5,2022-08-05,2380017,7:00 PM,43.1825,-88.0241,8,Wisconsin,4,Midwest,4,0,2022,PURPLE,5890543,563632
Nashville,4,2022-08-04,2378851,3:09 PM,36.0475,-86.7181,8,Tennessee,4,South,3,1,2022,RED,7048976,682130
Laurel,4,2022-08-04,2379020,3:00 AM,42.4255,-97.0908,8,Nebraska,4,Midwest,0,4,2022,RED,1968060,966
San Fernando,3,2022-08-03,2377855,2:30 PM,34.2278,-118.452,8,California,5,West,4,1,2022,BLUE,39040616,23482
Miami,3,2022-08-03,2377529,12:40 AM,25.6085,-80.3524,8,Florida,5,South,5,0,2022,PURPLE,22245521,450014
Albany,2,2022-08-02,2376380,1:20 AM,42.6601,-73.7672,8,New York,5,Northeast,5,0,2022,BLUE,19673200,100884
Orlando,2,2022-08-02,2377338,1:00 PM,28.4233,-81.2372,8,Florida,4,South,0,4,2022,PURPLE,22245521,315859
Paramount,1,2022-08-01,2375725,11:10 AM,33.9105,-118.161,8,California,4,West,3,1,2022,BLUE,39040616,51599
Washington,1,2022-08-01,2375886,8:28 PM,38.8964,-76.9824,8,District of Columbia,6,South,5,1,2022,BLUE,670949,670949
Columbus,1,2022-08-01,2376028,9:41 PM,39.8942,-82.991,8,Ohio,4,Midwest,2,2,2022,PURPLE,11759697,908238
South Bend,31,2022-07-31,2374750,1:30 AM,41.6548,-86.2479,7,Indiana,4,Midwest,4,0,2022,RED,6832274,103126
Orlando,31,2022-07-31,2374430,2:22 AM,28.5426,-81.3791,7,Florida,7,South,7,0,2022,PURPLE,22245521,315859
Detroit,31,2022-07-31,2374337,2:40 AM,42.3733,-83.1935,7,Michigan,8,Midwest,6,2,2022,PURPLE,10033281,631366
Indianapolis,31,2022-07-31,2374401,1:00 AM,39.8697,-86.143,7,Indiana,4,Midwest,4,0,2022,RED,6832274,889698
Decatur,31,2022-07-31,2374990,2:00 AM,39.8751,-88.9314,7,Illinois,4,Midwest,3,1,2022,BLUE,12582515,69201
Hartford,31,2022-07-31,2375097,6:44 PM,41.7818,-72.6756,7,Connecticut,4,Northeast,4,0,2022,BLUE,3608706,119851
Monroe,30,2022-07-30,2373924,1:00 AM,32.4988,-92.0896,7,Louisiana,4,South,3,1,2022,RED,4588023,46817
Wheeling,30,2022-07-30,2373692,5:00 AM,42.1319,-87.9368,7,Illinois,5,Midwest,5,0,2022,BLUE,12582515,37857
Girard,30,2022-07-30,2373859,1:40 AM,33.0551,-81.7371,7,Georgia,5,South,4,1,2022,PURPLE,10913150,182
Baltimore,29,2022-07-29,2373050,10:35 AM,39.3094,-76.6696,7,Maryland,4,South,2,2,2022,BLUE,6163981,569107
Albuquerque,29,2022-07-29,2373646,11:45 PM,35.1311,-106.709,7,New Mexico,5,West,4,1,2022,BLUE,2113476,561368
Cleveland,29,2022-07-29,2373607,10:00 PM,41.4518,-81.573,7,Ohio,4,Midwest,3,1,2022,PURPLE,11759697,362806
Miami,29,2022-07-29,2373111,5:00 PM,25.5675,-80.3675,7,Florida,4,South,4,0,2022,PURPLE,22245521,450014
Macon,27,2022-07-27,2370760,7:15 PM,32.8766,-83.6969,7,Georgia,4,South,2,2,2022,PURPLE,10913150,11777
Kenner,27,2022-07-27,2371416,5:50 PM,29.9741,-90.4103,7,Louisiana,4,South,3,1,2022,RED,4588023,63999
New Orleans,25,2022-07-25,2369720,12:23 AM,29.9388,-90.082,7,Louisiana,4,South,4,0,2022,RED,4588023,369917
Lomita,24,2022-07-24,2368575,3:45 PM,33.7517,-118.306,7,California,8,West,6,2,2022,BLUE,39040616,20048
Atlanta,24,2022-07-24,2368029,12:45 AM,33.8011,-84.4076,7,Georgia,8,South,8,0,2022,PURPLE,10913150,498771
Fort Worth,24,2022-07-24,2368308,4:30 AM,32.7189,-97.3047,7,Texas,4,South,3,1,2022,RED,30029848,957103
Bennettsville,24,2022-07-24,2368110,2:30 AM,34.6158,-79.6623,7,South Carolina,4,South,3,1,2022,RED,5282955,6644
Richmond,23,2022-07-23,2367984,11:24 PM,37.4868,-77.4761,7,Virginia,5,South,5,0,2022,BLUE,8679099,228367
El Paso,23,2022-07-23,2367664,2:00 AM,31.789,-106.232,7,Texas,4,South,4,0,2022,RED,30029848,677788
Pinebluff,23,2022-07-23,2367289,3:28 AM,35.0832,-79.4698,7,North Carolina,5,South,4,1,2022,RED,10695965,1542
Renton,23,2022-07-23,2367193,1:00 AM,47.4827,-122.209,7,Washington,7,West,6,1,2022,BLUE,7784477,104067
Chicago,23,2022-07-23,2368018,11:45 PM,41.7957,-87.6673,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Chicago,23,2022-07-23,2367176,1:45 AM,41.8777,-87.694,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Rockford,23,2022-07-23,2367157,4:30 AM,42.2826,-89.0682,7,Illinois,4,Midwest,2,2,2022,BLUE,12582515,146646
Kalamazoo,23,2022-07-23,2367972,2:00 AM,42.3034,-85.5864,7,Michigan,9,Midwest,9,0,2022,PURPLE,10033281,72801
Los Angeles,21,2022-07-21,2366273,9:35 PM,34.0445,-118.252,7,California,5,West,5,0,2022,BLUE,39040616,3822782
Lincoln,19,2022-07-19,2363589,12:30 AM,40.8189,-96.6801,7,Nebraska,4,Midwest,4,0,2022,RED,1968060,292380
Atlanta,18,2022-07-18,2362912,1:49 AM,33.7057,-84.359,7,Georgia,5,South,4,1,2022,PURPLE,10913150,498771
Mount Vernon,17,2022-07-17,2362595,10:00 PM,48.4413,-122.346,7,Washington,5,West,5,0,2022,BLUE,7784477,35564
Kings,17,2022-07-17,2362141,8:20 PM,40.663,-73.9084,7,New York,4,Northeast,4,0,2022,BLUE,19673200,2589531
Detroit,17,2022-07-17,2361849,12:15 AM,42.3314,-83.0458,7,Michigan,4,Midwest,4,0,2022,PURPLE,10033281,631366
Greenwood,17,2022-07-17,2362011,6:05 PM,39.633,-86.1236,7,Indiana,5,Midwest,2,3,2022,RED,6832274,65366
Beech Grove,17,2022-07-17,2362215,9:30 PM,39.7034,-86.0921,7,Indiana,4,Midwest,3,1,2022,RED,6832274,14486
Grand Rapids,17,2022-07-17,2361609,1:30 AM,42.9611,-85.674,7,Michigan,4,Midwest,4,0,2022,PURPLE,10033281,197192
Milledgeville,17,2022-07-17,2361654,12:34 AM,33.1072,-83.2456,7,Georgia,5,South,5,0,2022,PURPLE,10913150,16832
Newark,17,2022-07-17,2362282,7:15 PM,40.7755,-74.1585,7,New Jersey,4,Northeast,4,0,2022,BLUE,9260817,304552
Vancouver,17,2022-07-17,2362562,1:20 AM,45.6324,-122.65,7,Washington,4,West,2,2,2022,BLUE,7784477,194500
Washington,16,2022-07-16,2361532,9:00 PM,38.9204,-77.0034,7,District of Columbia,4,South,3,1,2022,BLUE,670949,670949
Columbus,16,2022-07-16,2360953,2:00 AM,39.9419,-83.092,7,Ohio,4,Midwest,2,2,2022,PURPLE,11759697,908238
North Charleston,16,2022-07-16,2361097,2:00 AM,32.9164,-80.1085,7,South Carolina,4,South,4,0,2022,RED,5282955,118598
Houston,16,2022-07-16,2361614,11:20 PM,30.0016,-95.4619,7,Texas,4,South,0,4,2022,RED,30029848,2302488
Monroe,16,2022-07-16,2362355,10:30 PM,32.5155,-92.0977,7,Louisiana,5,South,5,0,2022,RED,4588023,46817
Philadelphia,16,2022-07-16,2361490,4:00 PM,40.0075,-75.1027,7,Pennsylvania,4,Northeast,4,0,2022,PURPLE,12972091,1566836
Chicago,14,2022-07-14,2359843,4:00 PM,41.8848,-87.7359,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Philadelphia,14,2022-07-14,2359229,2:00 AM,39.9637,-75.1695,7,Pennsylvania,4,Northeast,4,0,2022,PURPLE,12972091,1566836
Philadelphia,13,2022-07-13,2358938,10:30 PM,39.9696,-75.2246,7,Pennsylvania,4,Northeast,4,0,2022,PURPLE,12972091,1566836
Indianapolis,13,2022-07-13,2358861,1:30 AM,39.8221,-86.2157,7,Indiana,4,Midwest,3,1,2022,RED,6832274,889698
Minneapolis,13,2022-07-13,2358856,7:13 PM,45.0134,-93.3028,7,Minnesota,4,Midwest,4,0,2022,BLUE,5714300,422003
Boston,12,2022-07-12,2358329,11:16 PM,42.3287,-71.0835,7,Massachusetts,4,Northeast,4,0,2022,BLUE,6982740,653243
Jackson,11,2022-07-11,2358053,10:00 PM,32.2568,-90.2604,7,Mississippi,4,South,4,0,2022,RED,2938928,145883
Crest Hill,10,2022-07-10,2356705,11:45 PM,41.5559,-88.1207,7,Illinois,5,Midwest,4,1,2022,BLUE,12582515,20169
Kansas City,10,2022-07-10,2356327,11:00 PM,39.0522,-94.59,7,Missouri,6,Midwest,5,1,2022,RED,6177168,509129
Downey,10,2022-07-10,2355580,12:45 AM,33.9241,-118.15,7,California,5,West,2,3,2022,BLUE,39040616,109932
Kings,10,2022-07-10,2355398,2:00 AM,40.5725,-73.9872,7,New York,5,Northeast,5,0,2022,BLUE,19673200,2589531
Alvin,10,2022-07-10,2356813,11:46 PM,29.4416,-95.2688,7,Texas,4,South,3,1,2022,RED,30029848,28209
Chicago,10,2022-07-10,2355438,1:11 AM,41.8908,-87.6282,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Alexander City,9,2022-07-09,2355962,8:45 PM,32.8854,-85.7965,7,Alabama,4,South,4,0,2022,RED,5073903,14620
Greensboro,8,2022-07-08,2354111,12:30 AM,36.0907,-79.7737,7,North Carolina,4,South,4,0,2022,RED,10695965,300805
Detroit,8,2022-07-08,2354825,11:00 PM,42.3436,-83.0622,7,Michigan,4,Midwest,4,0,2022,PURPLE,10033281,631366
Chicago,7,2022-07-07,2353847,9:44 PM,41.8712,-87.6962,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
St. Cloud,6,2022-07-06,2352349,5:45 PM,45.5483,-94.1559,7,Minnesota,4,Midwest,4,0,2022,BLUE,5714300,69991
Tampa,6,2022-07-06,2352780,7:00 PM,27.9851,-82.4191,7,Florida,4,South,4,0,2022,PURPLE,22245521,398325
Chicago,6,2022-07-06,2352444,8:54 PM,41.8843,-87.6727,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Steubenville,5,2022-07-05,2352342,2:30 AM,40.3575,-80.6193,7,Ohio,4,Midwest,4,0,2022,PURPLE,11759697,18018
Gary,5,2022-07-05,2349853,12:46 AM,41.5833,-87.3123,7,Indiana,10,Midwest,7,3,2022,RED,6832274,67977
Rochester,5,2022-07-05,2349723,2:45 AM,43.1666,-77.6109,7,New York,4,Northeast,3,1,2022,BLUE,19673200,208546
Sacramento,4,2022-07-04,2348230,2:00 AM,38.5761,-121.486,7,California,5,West,4,1,2022,BLUE,39040616,525297
Boston,4,2022-07-04,2348163,12:15 AM,42.2848,-71.0646,7,Massachusetts,4,Northeast,4,0,2022,BLUE,6982740,653243
Kenosha,4,2022-07-04,2349746,10:20 PM,42.577,-87.839,7,Wisconsin,5,Midwest,4,1,2022,PURPLE,5890543,98382
Minneapolis,4,2022-07-04,2350033,11:30 PM,44.9927,-93.2693,7,Minnesota,7,Midwest,7,0,2022,BLUE,5714300,422003
Highland Park,4,2022-07-04,2348384,10:14 AM,42.1856,-87.8012,7,Illinois,37,Midwest,30,7,2022,BLUE,12582515,30194
Kansas City,4,2022-07-04,2348750,1:30 AM,39.0985,-94.581,7,Missouri,4,Midwest,4,0,2022,RED,6177168,509129
Queens,4,2022-07-04,2349758,10:15 PM,40.6729,-73.7694,7,New York,4,Northeast,4,0,2022,BLUE,19673200,2278558
Chicago,4,2022-07-04,2348204,12:13 AM,41.7764,-87.6158,7,Illinois,5,Midwest,5,0,2022,BLUE,12582515,2672660
Richmond,4,2022-07-04,2348167,3:39 AM,37.5721,-77.4819,7,Virginia,6,South,6,0,2022,BLUE,8679099,228367
Denver,4,2022-07-04,2349545,9:23 PM,39.6796,-105.013,7,Colorado,4,West,3,1,2022,BLUE,5841039,713453
Manassas,3,2022-07-03,2348191,11:51 PM,38.7795,-77.5089,7,Virginia,4,South,4,0,2022,BLUE,8679099,42673
Mullins,3,2022-07-03,2347373,2:00 AM,34.1993,-79.2715,7,South Carolina,4,South,4,0,2022,RED,5282955,3892
Surprise,3,2022-07-03,2348303,10:30 PM,33.6483,-112.374,7,Arizona,6,West,4,2,2022,PURPLE,7365684,154149
Tacoma,3,2022-07-03,2348263,9:00 PM,47.2299,-122.457,7,Washington,4,West,4,0,2022,BLUE,7784477,221731
Haltom City,2,2022-07-02,2347060,6:46 PM,32.8255,-97.2622,7,Texas,6,South,4,2,2022,RED,30029848,45538
Queens,2,2022-07-02,2347228,9:40 PM,40.6994,-73.8221,7,New York,4,Northeast,3,1,2022,BLUE,19673200,2278558
Clinton,2,2022-07-02,2347297,9:00 PM,34.9913,-78.3221,7,North Carolina,6,South,6,0,2022,RED,10695965,8268
Chicago,1,2022-07-01,2345410,1:45 AM,41.8765,-87.634,7,Illinois,5,Midwest,3,2,2022,BLUE,12582515,2672660
Chicago,1,2022-07-01,2346422,9:15 PM,41.8801,-87.7214,7,Illinois,4,Midwest,4,0,2022,BLUE,12582515,2672660
Greenwood,1,2022-07-01,2346406,1:20 AM,33.5134,-90.1799,7,Mississippi,8,South,7,1,2022,RED,2938928,13588
Allen,30,2022-06-30,2345144,6:00 PM,37.6119,-82.7298,6,Kentucky,8,South,5,3,2022,RED,4511563,180
Newark,30,2022-06-30,2344954,6:19 PM,40.7137,-74.2144,6,New Jersey,9,Northeast,9,0,2022,BLUE,9260817,304552
Jersey City,29,2022-06-29,2344008,5:40 AM,40.7067,-74.0821,6,New Jersey,4,Northeast,4,0,2022,BLUE,9260817,289772
Philadelphia,29,2022-06-29,2344201,7:50 PM,40.0504,-75.1615,6,Pennsylvania,4,Northeast,4,0,2022,PURPLE,12972091,1566836
Charlotte,27,2022-06-27,2341725,1:26 PM,35.2675,-80.8485,6,North Carolina,5,South,5,0,2022,RED,10695965,895704
Blakely,26,2022-06-26,2340458,12:45 AM,31.3838,-84.9379,6,Georgia,7,South,6,1,2022,PURPLE,10913150,5233
Halifax,26,2022-06-26,2340720,1:30 AM,36.641,-79.2341,6,Virginia,8,South,7,1,2022,BLUE,8679099,1100
Paterson,26,2022-06-26,2340685,4:30 AM,40.9128,-74.1654,6,New Jersey,5,Northeast,5,0,2022,BLUE,9260817,156470
San Antonio,26,2022-06-26,2340473,2:30 AM,29.4816,-98.5088,6,Texas,4,South,3,1,2022,RED,30029848,1473325
Winona,26,2022-06-26,2340696,12:35 AM,32.3816,-95.1043,6,Texas,5,South,5,0,2022,RED,30029848,665
Tacoma,26,2022-06-26,2340409,12:45 AM,47.2168,-122.484,6,Washington,8,West,8,0,2022,BLUE,7784477,221731
Kings,25,2022-06-25,2340297,11:30 PM,40.6888,-73.9325,6,New York,4,Northeast,4,0,2022,BLUE,19673200,2589531
Houston,25,2022-06-25,2339761,1:25 AM,29.633,-95.3631,6,Texas,4,South,2,2,2022,RED,30029848,2302488
Minneapolis,25,2022-06-25,2340347,11:08 PM,44.9819,-93.2492,6,Minnesota,4,Midwest,4,0,2022,BLUE,5714300,422003
Hopewell,24,2022-06-24,2339866,10:27 PM,37.2817,-77.2946,6,Virginia,4,South,2,2,2022,BLUE,8679099,22790
Philadelphia,24,2022-06-24,2338874,8:45 PM,39.9373,-75.1831,6,Pennsylvania,4,Northeast,2,2,2022,PURPLE,12972091,1566836
Chicago,23,2022-06-23,2338902,9:35 PM,41.7507,-87.6261,6,Illinois,4,Midwest,3,1,2022,BLUE,12582515,2672660
New York,20,2022-06-20,2335052,12:30 AM,40.8153,-73.9358,6,New York,9,Northeast,8,1,2022,BLUE,19673200,8335798
New York City,20,2022-06-20,2335872,12:30 AM,40.6412,-74.0829,6,New York,5,Northeast,5,0,2022,BLUE,19673200,1381808
Washington,19,2022-06-19,2334920,8:30 PM,38.917,-77.032,6,District of Columbia,4,South,3,1,2022,BLUE,670949,670949
Miami,19,2022-06-19,2334512,2:30 AM,25.7429,-80.2298,6,Florida,5,South,5,0,2022,PURPLE,22245521,450014
Detroit,19,2022-06-19,2334936,10:15 PM,42.4288,-83.0556,6,Michigan,4,Midwest,3,1,2022,PURPLE,10033281,631366
Grand Rapids,19,2022-06-19,2334374,3:00 AM,42.9312,-85.6668,6,Michigan,4,Midwest,4,0,2022,PURPLE,10033281,197192
Everett,19,2022-06-19,2335096,9:00 AM,47.9594,-122.208,6,Washington,4,West,2,2,2022,BLUE,7784477,111584
Walterboro,19,2022-06-19,2334620,2:40 AM,32.8883,-80.6591,6,South Carolina,4,South,2,2,2022,RED,5282955,5457
San Antonio,18,2022-06-18,2334359,10:13 PM,29.3384,-98.5468,6,Texas,7,South,5,2,2022,RED,30029848,1473325
Pensacola,18,2022-06-18,2333675,12:30 AM,30.4103,-87.2141,6,Florida,5,South,5,0,2022,PURPLE,22245521,53880
Baltimore,17,2022-06-17,2334096,10:30 AM,39.299,-76.6464,6,Maryland,4,South,4,0,2022,BLUE,6163981,569107
Chicago,17,2022-06-17,2333667,11:45 PM,41.8385,-87.6135,6,Illinois,5,Midwest,5,0,2022,BLUE,12582515,2672660
Oakland,16,2022-06-16,2333154,10:30 PM,37.8031,-122.268,6,California,5,West,4,1,2022,BLUE,39040616,434568
Denver,12,2022-06-12,2328342,12:46 AM,39.6841,-104.934,6,Colorado,6,West,4,2,2022,BLUE,5841039,713453
Los Angeles,12,2022-06-12,2328374,12:27 AM,34.0172,-118.209,6,California,7,West,4,3,2022,BLUE,39040616,3822782
Roseville,12,2022-06-12,2328532,5:45 PM,42.4953,-82.9278,6,Michigan,4,Midwest,4,0,2022,PURPLE,10033281,46819
Gary,12,2022-06-12,2328265,1:57 AM,41.5859,-87.3567,6,Indiana,6,Midwest,4,2,2022,RED,6832274,67977
Indianapolis,12,2022-06-12,2328215,1:30 AM,39.7989,-86.0055,6,Indiana,4,Midwest,4,0,2022,RED,6832274,889698
New Orleans,12,2022-06-12,2328117,4:00 AM,29.9676,-90.1044,6,Louisiana,4,South,4,0,2022,RED,4588023,369917
Chicago,11,2022-06-11,2327645,3:20 PM,41.7375,-87.6732,6,Illinois,5,Midwest,4,1,2022,BLUE,12582515,2672660
Alamogordo,11,2022-06-11,2360288,1:00 AM,32.8995,-105.96,6,New Mexico,4,West,4,0,2022,BLUE,2113476,31167
Detroit,11,2022-06-11,2327598,12:15 AM,42.3864,-83.1515,6,Michigan,4,Midwest,4,0,2022,PURPLE,10033281,631366
College Park,11,2022-06-11,2328482,11:15 PM,33.5685,-84.5016,6,Georgia,7,South,7,0,2022,PURPLE,10913150,13901
